team,fg_id,roster_name,roster_role,il,salary,contract,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,AVG,ERA,WHIP,role,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,roto_points_2028,redraft_value_2028,keeper_cost,keeper_status,years_controlled,surplus_keep,surplus_redraft,extension_used,keepable,surplus_y2027,surplus_y2028,surplus_y2029,extension_option,extension_years,surplus_multiyear,keep_2027
All-Stars,26668,Elly De La Cruz,HIT,False,15,F,2.9533227430347293,1.8610980881363648,2.6023416731469444,2.0138968448728476,0.46798784466685084,0.0,0.0,0.0,0.0,0.0,9.898647193857737,637.5,573.0634615384615,153.56142244358466,25.75983085250338,99.83474289580515,88.01176225668783,34.44461538461538,0.0,0.0,0.0,0.0,0.0,0.0,Elly De La Cruz,0.5,1.0,0.2679658235954,,,HIT,5.121095356159629,32.82094122486534,54.52172637586936,9.898647193857737,32.82094122486534,0.0,10.084486376054219,33.97568982505268,20.0,extension +$5,1,34.52172637586936,12.820941224865336,False,True,12.820941224865336,0.0,0.0,2.6293363512947803,2,15.450277576160117,True
All-Stars,20778,Cristopher Sánchez,PIT,False,5,F,0.0,0.0,0.0,0.0,0.0,3.1894011079165914,0.0,3.722015882491765,1.0541483218643783,0.2574428561016217,8.223008168374356,0.0,0.0,174.11194883471106,0.0,0.0,0.0,0.0,188.1,11.705025148518198,0.0,195.62342535078105,68.14175480351096,43.06527913477084,Cristopher Sánchez,0.5,1.0,,3.26037104323019,1.1545838807521631,PIT,3.4454563306762482,22.409025953679503,38.99859304590775,8.223008168374356,22.409025953679503,0.0,5.796253805172371,7.329906627038942,10.0,extension +$5,1,28.998593045907747,12.409025953679503,False,True,12.409025953679503,0.0,0.0,0.0,1,12.409025953679503,True
All-Stars,14161,Byron Buxton,HIT,True,8,1,2.183634799870793,1.932182369690909,1.8895925551049155,0.6459971461873277,-0.11645074238703391,0.0,0.0,0.0,0.0,0.0,6.53495612846691,469.5,422.37150478292864,105.17823973395127,26.743722610164795,73.81604985015007,63.90643182560695,11.048789959937864,0.0,0.0,0.0,0.0,0.0,0.0,Byron Buxton,0.5,1.2779552715654952,0.24901831336374364,,,HIT,1.7574042907688021,11.919979956556984,23.360465451071025,8.353328691074669,23.218798356814403,11.298818400257419,5.011440959755417,2.4533164271524615,8.0,keepable x1yr,1,15.360465451071025,3.9199799565569844,False,True,3.9199799565569844,0.0,0.0,0.0,0,3.9199799565569844,True
All-Stars,19608,Otto Lopez,HIT,False,10,2,2.1464481712082004,0.8025672372809168,1.9334702002285131,1.128880755664568,0.7413720388248569,0.0,0.0,0.0,0.0,0.0,6.752738403207055,593.0,542.6604094479094,150.55744891573556,11.10849364249229,72.55898523692841,65.3903833416012,19.307773157773156,0.0,0.0,0.0,0.0,0.0,0.0,Otto Lopez,0.5,1.0118043844856661,0.2774432154888715,,,HIT,1.9751865655089471,13.273213294809164,25.378002185582424,6.831813592489713,13.764562659644172,0.491349364835008,4.840485981664067,1.3910537798850462,10.0,keepable x2yr,2,15.378002185582424,3.273213294809164,False,True,3.273213294809164,0.0,0.0,0.0,0,3.273213294809164,True
All-Stars,20178,Miguel Vargas,HIT,False,10,2,2.652764728641362,1.6208852313981907,2.0912346595439266,0.624907750567411,-0.4513561687848752,0.0,0.0,0.0,0.0,0.0,6.538436201366015,623.0,550.5559853717577,131.85760484915423,22.43499666046557,89.6746165895951,70.72601172164867,10.688088207675133,0.0,0.0,0.0,0.0,0.0,0.0,Miguel Vargas,0.5,1.0,0.23949899438495548,,,HIT,1.7608843636679072,11.941604079421143,23.392704874233907,6.538436201366015,11.941604079421143,0.0,5.236848438384808,3.8539304814257673,10.0,keepable x2yr,2,13.392704874233907,1.9416040794211433,False,True,1.9416040794211433,0.0,0.0,0.0,0,1.9416040794211433,True
All-Stars,3096,Kenley Jansen,PIT,False,1,2,0.0,0.0,0.0,0.0,0.0,0.8521399402671409,2.2571759033474756,0.8660730453337919,-0.7735689238510851,-0.49646715613806247,2.705352808959261,0.0,0.0,40.72463369811087,0.0,0.0,0.0,0.0,45.886006825938566,3.127333030055662,13.543887333675178,45.519466085339445,23.254756241215357,20.346200471794806,Kenley Jansen,0.40273037542662116,1.8458511492369427,,4.5611466468385,1.3309250116613633,PIT,-2.072199028738847,0.0,0.0,5.0615874588128005,2.7649116403168597,2.7649116403168597,1.118744148085804,0.0,1.0,keepable x2yr,2,-1.0,-1.0,False,True,-1.0,0.0,0.0,0.0,0,-1.0,True
All-Stars,10155,Mike Trout,HIT,False,4,2,2.035435348062283,1.5610531522505402,1.75123772704647,0.3439817502520059,-0.6888896984994325,0.0,0.0,0.0,0.0,0.0,5.0028182791118665,511.5,441.67619047619047,100.26977672049573,21.606848886728162,68.80628442458112,59.22724140269078,5.883280028429282,0.0,0.0,0.0,0.0,0.0,0.0,Mike Trout,0.5,1.1730205278592376,0.2270210142239963,,,HIT,0.2252664414137584,2.3997376915741104,9.16672816415268,5.876248069361155,7.826966846004785,5.427229154430675,3.0376620799195364,0.0,4.0,keepable x2yr,2,5.16672816415268,-1.6002623084258896,False,True,-1.6002623084258896,0.0,0.0,0.0,0,-1.6002623084258896,False
All-Stars,20202,Brandon Marsh,HIT,False,10,2,1.9262515223408125,1.1611451582148935,1.8132028584709357,0.67226809178632,0.14597136788760395,0.0,0.0,0.0,0.0,0.0,5.718838998700566,522.5,468.60046097969825,121.40749847815422,16.071642360758435,65.11541142568815,61.32291564539678,11.498114173961634,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Marsh,0.5,1.1483253588516746,0.2590853159306092,,,HIT,0.9412871610024576,6.848874379961048,15.799949835499264,6.56540341599083,12.109170213596405,5.260295833635357,4.310654247915922,0.0,10.0,keepable x2yr,2,5.799949835499264,-3.151125620038952,False,True,-3.151125620038952,0.0,0.0,0.0,0,-3.151125620038952,False
All-Stars,21711,Oneil Cruz,HIT,True,20,2,2.040429429144828,1.6611263903271136,1.9667426753049482,1.7358324463702606,-0.10719396061207392,0.0,0.0,0.0,0.0,0.0,7.296936980535076,488.0,432.70683877105364,107.95670501227367,22.991982589324255,68.9751053914235,66.51566569646491,29.68875051350241,0.0,0.0,0.0,0.0,0.0,0.0,Oneil Cruz,0.5,1.2295081967213115,0.2494915618132716,,,HIT,2.519385142836968,16.654699039451973,30.41946215719018,8.97307930759192,27.069741674741326,10.415042635289353,7.598700429713656,18.52976605388952,20.0,keepable x2yr,2,10.419462157190178,-3.345300960548027,False,True,-3.345300960548027,0.0,0.0,0.0,0,-3.345300960548027,False
All-Stars,13613,Ketel Marte,HIT,False,13,F,2.4330748700971117,1.752432228583763,2.3529755751499297,0.2630306291168881,0.08086563509168239,0.0,0.0,0.0,0.0,0.0,6.882378938039375,608.0,539.4204999616761,138.27393207774577,24.255764957556416,82.24817442498299,79.5781465027461,4.498735313762634,0.0,0.0,0.0,0.0,0.0,0.0,Ketel Marte,0.5,1.0,0.25633792576954273,,,HIT,2.104827100341267,14.078760458522389,26.578993136834054,6.882378938039375,14.078760458522389,0.0,5.355506750987075,4.591237430146594,18.0,extension +$5,1,8.578993136834054,-3.921239541477611,False,True,-3.921239541477611,0.0,0.0,0.0,1,-3.921239541477611,False
